Afghanistan, Kabul, n113
Albania, Tirana, n284
Algeria, Algiers, n14
Andorra, Andorra La Vella, n686
Angola, Luanda, n138
Antigua and Barbuda, Saint John's, n688
Argentina, Buenos Aires, n51
Argentina, Córdoba, n485
Armenia, Yerevan, n370
Australia, Adelaide, n5
Australia, Alice Springs, n929
Australia, Brisbane, n47
Australia, Cairns, n927
Australia, Canberra, n57
Australia, Darwin, n72
Australia, Eucla, n1980
Australia, Habart, n396
Australia, Melbourne, n152
Australia, Perth, n196
Australia, Sydney, n240
Austria, Vienna, n259
Azerbaijan, Baku, n369
Bahamas, Nassau, n173
Bahrain, Manama, n15
Bangladesh, Dhaka, n73
Barbados, Bridgetown, n46
Belarus, Minsk, n285
Belgium, Brussels, n48
Belize, Belmopan, n36
Benin, Porto Novo, n203
Bermuda, Hamilton, n38
Bhutan, Thimphu, n690
Bolivia, La Paz, n124
Bolivia, Sucre, n1888
Bosnia-Herzegovina, Sarajevo, n691
Botswana, Gaborone, n86
Brazil, Acre Rio Branco, n752
Brazil, Amazonas Manaus, n144
Brazil, Bahia Salvador, n222
Brazil, Ceará Fortaleza, n491
Brazil, Distrito Federal Brasilia, n45
Brazil, Pará Belém, n446
Brazil, Pernambuco Recife, n209
Brazil, Rio de Janeiro, n213
Brazil, São Paulo, n233
British, Indian Ocean Terriotry Diego Garcia, n932
Brunei, Bandar Seri Begawan, n693
Bulgaria, Sofia, n238
Burkina, Faso Ouagadougou, n186
Burundi, Bujumbura, n52
Burundi, Gitega, n3446
Cabo, Verde Praia, n685
Cambodia, Phnom Penh, n199
Cameroon, Yaoundé, n267
Canada, Alberta Calgary, n55
Canada, Alberta Edmonton, n80
Canada, British Columbia Vancouver, n256
Canada, Manitoba Winnipeg, n265
Canada, New Brunswick Saint John, n749
Canada, Newfoundland and Labrador Happy Valley-Goose Bay, n1137
Canada, Newfoundland and Labrador Mary's Harbour, n4880
Canada, Newfoundland and Labrador St. John's, n175
Canada, Northwest Territories Inuvik, n1145
Canada, Northwest Territories Yellowknife, n678
Canada, Nova Scotia Halifax, n286
Canada, Nunavut Alert, n3368
Canada, Nunavut Baker Lake, n1157
Canada, Nunavut Coral Harbour, n1160
Canada, Nunavut Eureka, n3764
Canada, Nunavut Grise Fiord, n3801
Canada, Nunavut Pond Inlet, n1164
Canada, Nunavut Resolute Bay, n2380
Canada, Ontario Ottawa, n188
Canada, Ontario Toronto, n250
Canada, Quebec Blanc-Sablon, n1922
Canada, Quebec Chibougamau, n2438
Canada, Quebec Kuujjuaq, n3768
Canada, Quebec Montréal, n165
Canada, Quebec Québec, n189
Canada, Saskatchewan Regina, n210
Canada, Yukon Whitehorse, n679
Cayman, Islands George Town, n377
Central, African Republic Bangui, n694
Chad, N'Djamena, n174
Chile, Easter Island, n914
Chile, Punta Arenas, n574
Chile, Santiago, n232
China, Beijing Municipality Beijing, n33
China, Chongqing Municipality Chongqing, n470
China, Guangdong Shenzhen, n1232
China, Jiangsu Suzhou, n2148
China, Shanghai Municipality Shanghai, n237
China, Tibet Lhasa, n918
China, Xinjiang Ürümqi, n655
Colombia, Bogota, n41
Comoros, Moroni, n696
Congo, Brazzaville, n926
Congo, Dem. Rep. Kinshasa, n121
Congo, Dem. Rep. Lubumbashi, n139
Cook, Islands Rarotonga, n279
Costa, Rica San Jose, n225
Cote, d'Ivoire (Ivory Coast) Abidjan, n1
Cote, d'Ivoire (Ivory Coast) Yamoussoukro, n935
Croatia, Split, n2390
Croatia, Zagreb, n281
Croatia, Zagreb, n281
Cuba, Havana, n99
Cyprus, Nicosia, n680
Czech, Republic Prague, n204
Czech Republic, Brno, n1960
Czech Republic, Hradec Králové, n4344
Czech Republic, Karlovy Varyn, n4726
Czech Republic, Liberec, n3673
Czech Republic, Olomouc, n4343
Czech Republic, Ostrava, n2202
Czech Republic, Plzeň, n2172
Czech Republic, Praha, n204
Czech Republic, Tábor, n2201
Czech Republic, Teplice, n5513
Czech Republic, Ústí nad Labem, n4345
Denmark, Copenhagen, n69
Djibouti, Djibouti, n697
Dominica, Roseau, n698
Dominican, Republic Santo Domingo, n230
Ecuador, Galapagos Islands, n915
Ecuador, Guayaquil, n93
Ecuador, Quito, n190
Egypt, Cairo, n53
El, Salvador San Salvador, n228
Equatorial, Guinea Malabo, n699
Eritrea, Asmara, n700
Estonia, Tallinn, n242
eSwatini, Mbabane, n149
Ethiopia, Addis Ababa, n7
Falkland, Islands Stanley, n630
Faroe, Islands Tórshavn, n701
Fiji, Suva, n82
Finland, Helsinki, n101
Finland, Kemi, n3718
Finland, Rovaniemi, n1401
France, Île-de-France Paris, n195
France, Paris, n195
French, Guiana Cayenne, n61
French, Polynesia Tahiti Papeete, n278
French, Southern Territories Amsterdam Island, n3658
French, Southern Territories Port-aux-Francais, n397
Gabon, Libreville, n129
Gambia, Banjul, n30
Georgia, Tbilisi, n371
